cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
380-34-7,0.0,,26.4,"1-ethoxy-1,1,2,3,3,3-hexafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
381-88-4,,,0.095,"1,1,1-trifluorobutan-2-one",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
382-10-5,,,0.377,"3,3,3-trifluoro-2-(trifluoromethyl)prop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
382-31-0,0.0,,30.5,"2,2,3,4,4,4-hexafluorobutan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
382-34-3,0.0,264.0,264.0,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe356mec3; ODP inferred 0 (low-ODP fluorinated species)
3822-68-2,,14300.0,14300.0,Difluoromethoxy(trifluoro)methane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe125
383-63-1,,,1.58,"Ethyl 2,2,2-trifluoroacetate",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
383-67-5,,,0.007,"Prop-2-enyl 2,2,2-trifluoroacetate",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
3832-15-3,0.0,,4230.0,"(1s,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
3934-26-7,0.0,,5660.0,"(1r,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
