cas,D,P,H,RER,smiles,source
3387-41-5,16.58,1.52,1.77,,,doss_bootstrap
3391-86-4,16.16,4.14,9.32,,,doss_bootstrap
34413-35-9,18.71,7.18,4.89,,,doss_bootstrap
3445-11-2,18.0,9.2,15.7,,,doss_bootstrap
34451-19-9,16.62,6.23,11.59,,,doss_bootstrap
3452-09-3,15.79,2.89,2.42,,,doss_bootstrap
34590-94-8,16.23,6.44,9.86,,,doss_bootstrap
350-03-8,19.17,10.12,6.26,,,doss_bootstrap
3522-94-9,14.65,0.1,0.1,,,doss_bootstrap
35836-73-8,16.94,3.56,8.45,,,doss_bootstrap
35854-86-5,16.5,4.4,8.8,,,doss_bootstrap
35884-42-5,16.0,5.98,8.15,,,doss_bootstrap
3658-80-8,19.3,7.77,5.63,,,doss_bootstrap
373-49-9,16.48,3.42,6.26,,,doss_bootstrap
3848-24-6,16.72,11.1,5.6,,,doss_bootstrap
3877-15-4,16.68,3.54,3.31,,,doss_bootstrap
39924-52-2,17.38,5.74,4.59,,,doss_bootstrap
4001-61-0,19.45,3.08,4.54,,,doss_bootstrap
40649-36-3,17.34,5.59,3.54,,,doss_bootstrap
40716-66-3,16.92,2.2,5.43,,,doss_bootstrap
4077-47-8,17.43,8.53,6.5,,,doss_bootstrap
4166-20-5,17.73,8.34,7.67,,,doss_bootstrap
4179-19-5,18.37,5.94,6.28,,,doss_bootstrap
4209-91-0,15.82,2.88,6.88,,,doss_bootstrap
4221-98-1,16.52,1.71,3.06,,,doss_bootstrap
4292-75-5,16.18,0.1,0.1,,,doss_bootstrap
4319-49-7,18.05,7.48,10.98,,,doss_bootstrap
4360-47-8,18.65,8.12,5.29,,,doss_bootstrap
4411-89-6,18.32,5.85,4.78,,,doss_bootstrap
4415-82-1,17.3,6.61,12.94,,,doss_bootstrap
4435-53-4,15.3,4.1,8.1,,,doss_bootstrap
4437-20-1,18.6,7.56,6.24,,,doss_bootstrap
4437-51-8,16.58,9.93,5.6,,,doss_bootstrap
4442-79-9,17.09,4.55,9.89,,,doss_bootstrap
4447-60-3,15.09,4.09,2.69,,,doss_bootstrap
4454-05-1,16.98,5.57,5.91,,,doss_bootstrap
4457-71-0,16.86,8.04,17.38,,,doss_bootstrap
4500-58-7,19.16,2.6,4.0,,,doss_bootstrap
459-80-3,17.15,4.35,8.8,,,doss_bootstrap
464-07-3,15.22,4.07,5.42,,,doss_bootstrap
4643-27-0,16.55,5.15,4.07,,,doss_bootstrap
470-82-6,16.7,4.6,3.4,,,doss_bootstrap
4730-22-7,15.82,3.99,8.31,,,doss_bootstrap
473-55-2,16.05,0.9,1.03,,,doss_bootstrap
4792-15-8,16.47,8.52,12.97,,,doss_bootstrap
4946-13-8,19.3,3.0,4.5,,,doss_bootstrap
496-15-1,19.6,8.14,7.63,,,doss_bootstrap
50-00-0,12.8,13.7,15.0,1736.2,C=O,hspip_cli
5008-73-1,16.3,2.58,2.56,,,doss_bootstrap
502-44-3,18.0,15.0,7.4,,,doss_bootstrap
502-56-7,16.0,7.7,4.4,,,doss_bootstrap
503-17-3,15.1,3.4,7.6,,,doss_bootstrap
5131-66-8,15.3,4.5,9.2,,,doss_bootstrap
513-42-8,16.09,6.78,12.85,,,doss_bootstrap
513-81-5,15.05,2.33,2.32,,,doss_bootstrap
515-00-4,17.02,3.68,8.97,,,doss_bootstrap
517-23-7,17.56,12.97,7.28,,,doss_bootstrap
51755-66-9,17.15,5.27,9.93,,,doss_bootstrap
51755-83-0,17.01,6.47,11.56,,,doss_bootstrap
5308-25-8,17.23,5.48,7.27,,,doss_bootstrap
532-28-5,19.09,10.9,12.67,,,doss_bootstrap
53398-85-9,16.16,2.95,3.77,,,doss_bootstrap
53399-81-8,15.92,3.71,4.92,,,doss_bootstrap
535-77-3,17.24,1.62,1.54,,,doss_bootstrap
536-75-4,17.91,5.75,4.98,,,doss_bootstrap
536-78-7,17.91,5.75,4.98,,,doss_bootstrap
53716-82-8,18.9,12.4,7.1,,,doss_bootstrap
537-40-6,16.64,1.71,4.13,,,doss_bootstrap
538-23-8,16.38,3.15,3.66,,,doss_bootstrap
539-82-2,15.83,4.32,5.56,,,doss_bootstrap
540-42-1,15.52,4.1,4.97,,,doss_bootstrap
5405-41-4,16.64,7.08,12.04,,,doss_bootstrap
5413-60-5,17.29,3.17,3.92,,,doss_bootstrap
541-85-5,15.75,4.65,2.98,,,doss_bootstrap
542-10-9,16.61,6.02,8.31,,,doss_bootstrap
542-91-6,14.35,1.73,1.12,,,doss_bootstrap
543-49-7,15.7,5.4,11.7,,,doss_bootstrap
543-82-8,15.74,2.89,4.97,,,doss_bootstrap
544-13-8,16.81,18.08,7.75,,,doss_bootstrap
5441-51-0,17.38,6.36,3.96,,,doss_bootstrap
544-35-4,16.4,2.39,3.29,,,doss_bootstrap
5452-75-5,16.71,3.5,4.7,,,doss_bootstrap
547-64-8,17.07,8.59,14.64,,,doss_bootstrap
551-08-6,18.73,5.92,3.98,,,doss_bootstrap
556-24-1,15.58,4.47,5.59,,,doss_bootstrap
556-82-1,16.66,6.07,11.76,,,doss_bootstrap
557-00-6,15.6,3.54,4.43,,,doss_bootstrap
557-40-4,15.3,4.4,5.3,,,doss_bootstrap
55934-93-5,16.01,5.27,7.21,,,doss_bootstrap
56539-66-3,16.0,6.3,12.9,,,doss_bootstrap
565-60-6,15.74,4.26,9.81,,,doss_bootstrap
565-61-7,15.66,5.4,3.69,,,doss_bootstrap
565-62-8,16.53,6.23,4.74,,,doss_bootstrap
565-67-3,15.63,4.64,9.58,,,doss_bootstrap
565-69-5,15.54,5.77,3.59,,,doss_bootstrap
56578-18-8,16.48,3.86,10.6,,,doss_bootstrap
5683-33-0,18.63,6.06,7.32,,,doss_bootstrap
57500-00-2,18.46,7.38,6.16,,,doss_bootstrap
57-55-6,16.8,10.4,21.3,,,doss_bootstrap
578-54-1,18.61,4.78,7.96,,,doss_bootstrap
579-66-8,18.06,4.35,7.04,,,doss_bootstrap
583-59-5,17.1,6.5,12.5,,,doss_bootstrap
583-60-8,17.6,7.8,4.7,,,doss_bootstrap
584-03-2,16.87,8.99,19.7,,,doss_bootstrap
58670-89-6,16.04,1.86,6.16,,,doss_bootstrap
586-98-1,19.43,9.57,14.01,,,doss_bootstrap
5878-19-3,16.18,9.07,6.55,,,doss_bootstrap
589-38-8,15.74,6.68,4.08,,,doss_bootstrap
589-55-9,15.87,4.13,8.87,,,doss_bootstrap
589-62-8,15.96,3.85,8.63,,,doss_bootstrap
589-66-2,16.18,3.76,4.93,,,doss_bootstrap
589-82-2,15.9,5.4,11.7,,,doss_bootstrap
589-91-3,17.2,6.3,12.5,,,doss_bootstrap
589-92-4,17.57,7.01,4.43,,,doss_bootstrap
589-93-5,17.97,5.48,4.72,,,doss_bootstrap
